YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1901,10,8,7,NICARAGUA,NICARAGUA,11,-86.5,Earthquake
1902,1,16,7,MEXICO,MEXICO:  GUERRERO,17.6,-99.7,Earthquake
1902,2,26,7,EL SALVADOR,EL SALVADOR-GUATEMALA,13.5,-89.5,Earthquake
1905,7,6,7,JAPAN,JAPAN:  OFF FUKUSHIMA,37.4,142.6,Earthquake
1908,10,23,7,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.5,70.5,Earthquake
1908,12,28,7,ITALY,"ITALY:  MESSINA, SICILY, CALABRIA",38.17,15.58,Earthquake
1912,1,24,7,GREECE,GREECE:  ASPROGERAKAS (KEPHALLENIA),38,20.5,Earthquake
1912,7,24,7,PERU,"PERU:  HUANCABAMBA,CAJAMARCA; ECUADOR:  GUAYAQUIL",-5.62,-80.413,Earthquake
1913,7,28,7,PERU,PERU:  AREQUIPA,-16.6,-73.3,Earthquake
1913,10,11,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-7,148,Earthquake
1913,12,21,7,CHINA,CHINA:  YUNNAN PROVINCE,24.15,102.45,Earthquake
1914,10,3,7,TURKEY,"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA",37.82,30.27,Earthquake
1915,12,3,7,CHINA,CHINA:  TIBET (XIZANG PROVINCE),29.5,91.5,Earthquake
1916,4,26,7,PANAMA,"PANAMA:  ALMIRANTE, BOCAS DEL TORO",9.6,-82,Earthquake
1920,8,20,7,CHILE,CHILE:  OFF COAST CENTRAL,-38,-73.5,Earthquake
1923,5,4,7,CHILE,CHILE:  VALLENAR,-28.75,-71.75,Earthquake
1925,3,16,7,CHINA,CHINA:  YUNNAN PROVINCE:  TALIFU,25.7,100.4,Earthquake
1925,11,16,7,MEXICO,S. MEXICO,18.5,-107,Earthquake
1926,11,5,7,NICARAGUA,"NICARAGUA:  MANAGUA,GRANADA,MASAYA,CHINANDEGA",12.3,-85.8,Earthquake
1928,4,18,7,BULGARIA,BULGARIA:  POPOVITSA,42.1,25,Earthquake
1928,6,15,7,PHILIPPINES,PHILIPPINES:  SW MINDORO,12.4,120.9,Earthquake
1928,7,18,7,PERU,PERU,-5.5,-79,Earthquake
1929,5,26,7,CANADA,CANADA: QUEEN CHARLOTTE ISLANDS,51,-131,Earthquake
1931,8,7,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  BISMARCK SEA,-3.417,142.077,Earthquake
1931,9,21,7,JAPAN,JAPAN:  HONSHU,36.1,139.2,Earthquake
1932,8,14,7,MYANMAR (BURMA),MYANMAR; INDIA:  ASSAM,26,95.5,Earthquake
1934,11,30,7,MEXICO,MEXICO:  JALISCO,18.5,-105.5,Earthquake
1936,1,9,7,COLOMBIA,COLOMBIA,1.1,-77.6,Earthquake
1937,7,31,7,CHINA,CHINA:  SHANDONG PROVINCE,35.4,115.1,Earthquake
1937,12,8,7,TAIWAN,TAIWAN:  TAIDONG,22.9,121.2,Earthquake
1938,12,6,7,TAIWAN,TAIWAN,22.9,121.5,Earthquake
1939,5,1,7,JAPAN,JAPAN:  HONSHU:  NW,40.1,139.5,Earthquake
1940,10,11,7,CHILE,CHILE:  S,-41.5,-74.5,Earthquake
1941,5,16,7,CHINA,CHINA:  YUNNAN PROVINCE,23.6,99.4,Earthquake
1941,12,26,7,CHINA,CHINA:  YUNNAN PROVINCE,22.7,99.9,Earthquake
1944,9,27,7,CHINA,CHINA:  XINJIANG,39.1,75,Earthquake
1946,9,30,7,PERU,PERU:  PISCO,-14,-76.25,Earthquake
1947,11,4,7,JAPAN,"W. HOKKAIDO ISLAND, JAPAN",43.8,141,Earthquake
1948,12,26,7,CHILE,CHILE:  ANTOFAGASTA,-22.5,-69,Earthquake
1949,4,13,7,USA,WASHINGTON,47.167,-122.617,Earthquake
1950,1,30,7,CHILE,CHILE:  SOUTHERN,-53.5,-71.5,Earthquake
1950,2,2,7,CHINA,CHINA:  YUNNAN PROVINCE,21.7,100.1,Earthquake
1950,12,10,7,PERU,"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75,Earthquake
1954,3,29,7,SPAIN,SPAIN,37,-3.5,Earthquake
1954,4,20,7,GREECE,GREECE,39.8,22.1,Earthquake
1954,4,30,7,GREECE,GREECE:  SOPHADES (KARDITSA),39.3,22.2,Earthquake
1954,7,31,7,CHINA,CHINA: NEI MONGOL,38.8,104.2,Earthquake
1954,12,16,7,USA,NEVADA:  DIXIE VALLEY,39.3,-118.2,Earthquake
1955,4,15,7,CHINA,CHINA:  XINJIANG PROVINCE,39.9,74.6,Earthquake
1956,7,16,7,MYANMAR (BURMA),MYANMAR (BURMA),22.2,95.7,Earthquake
